Asset Name,Asset Category,Asset Description,Industry,Domain,Value Delivered/Key KPIs,Tech/AI/Core Capabilities,Number of projects,Clients Live with,Key Accounts/Clients,Client Feedback/Success Stories,Project PPMDs,Asset Lead,Positive Client Feedback Percentage,Keyword tagging,Image Tagging,IMO Category,Buyer Types,Outcome,Gift Baskets
Gardenia - Prior Authorization,Solution ,Health Plan agnostic Prior Authorization Clearinghouse Product that is capable of ingesting & hosting PA rules from any payor and can receive PA requests from any provider. The service will replace a portion the administrative cost currently incurred by plans to have staff review prior authorization decisions.The service provides high value to providers by giving them a single place and process for submitting PA requests to multiple payers & supports auto population of fields from the EMR.,Healthcare ,Provider and Plan - Operations,Value to Payers: The service will replace a portion the administrative cost currently incurred by plans to have staff review prior authorization decisions. Value to Providers: The service provides high value to providers by giving them a single place and process for submitting PA requests to multiple payers & supports auto population of fields from the EMR.,"GCP, FHIR Data Model, Dataflow, Pub/Sub, Healthcare API",TBD,TBD,TBD,TBD,Jeanette Yung,Dhiman Lahiri,TBD,"Health Plan, plan, payors, PA, pre-auth, pre auth, pre-authorization, pre authorization, pre auth approval, pre-auth approval, pre-authorization approval, pre authorization approval, auto approval, PA requests, pre auth requests, pre-authorization requests, pre authorization decision making, PA decisioning, Prior authorization decisioning, Prior auth decisioning, automation, reduced costs, EMR",ATADATA.jpg,Care Delivery Transformation,Operational Executive,Optimize Supply & Service Costs,"Health System Operations Optimization, Transformation Services"
Gardenia - Digital Front Door,Solution ,"A personalized product shopping experience for consumers. The MVP will establish foundational infrastructure to allow for interoperability and healthcare data aggregation to drive plan sales and demonstrate the potential for Analytics as-a-Service. Payers leverage personalized product recommendations to increase sales and retention of members. Payers require strategic and implementation assistance to establish a market advantage through opportunities presented by interoperability mandates. Providers can improve patient engagement starting with insurance sales all the way through to care delivery (i.e., keeping the door open). Analytics built on top of the GCP FHIR store would enable physicians a more holistic view of a patient, enabling more informed & complete care. A comprehensive view of population level demand for services will enable more precise network planning capabilities for health systems.",Healthcare ,Health Plan - Operations,"Value to Payers: Payers leverage personalized product recommendations to increase sales and retention of members.
Payers require strategic and implementation assistance to establish a market advantage through opportunities presented by interoperability mandates. Value to Providers: Providers can improve patient engagement starting with insurance sales all the way through to care delivery (i.e., keeping the door open).
Analytics built on top of the GCP FHIR store would enable physicians a more holistic view of a patient, enabling more informed & complete care.
A comprehensive view of population level demand for services will enable more precise network planning capabilities for health systems.","GCP, FHIR Data Model, Dataflow, Pub/Sub, Healthcare API",TBD,TBD,TBD,TBD,Jeanette Yung,Dhiman Lahiri,TBD,"Interoperability, drive sales, increase sales, sales, health plans, plans, providers, payors, analytics, patient engagement, insurance, care delivery, phsyician, patient, network planning, network planning capabilities, personalized product recommendations, product recommendations, retention, member retention, ",Gardenia_Prior Authorization.jpg,Care Delivery Transformation,Operational Executive,Optimize Supply & Service Costs,"Patient Experience Improvement,Transformation Services"
Labor Productivity Analytics,Solution ,"A comprehensive analytic application developed to replace a legacy Huron tool. The solution curated data from several sources(ERP, EHR, Rev Cycle etc.)  including manually maintained spend sheets for roll-ups and ratios to compute work units. ",Healthcare ,Health Provider - Operations,Monitor and drive productivity as well as influence FTE requests and recruitment efforts.,TBD,TBD,TBD,TBD,TBD,Dan Kinsella,Ashish Chhabra,TBD,"Analytics, analytics application, EPR, EHR, Rev cycle, RCM, Revenue cycle, productivity, increased productivity, FTE, recruitment, operations",Gardenia- Digital Front Door.jpg,Data & AI,Operational Executive,Optimize Supply & Service Costs,AI & Data Operations
Spend Analytics,Solution ,"Analytic application developed as part of the management intelligence platform to provide insights into spend for transparency as well as identify cost saving opportunities. Data is curated across several sources (ERP, EHR, benchmark, labs, pharmacy etc.) to provide a holistic view of the spend with rules and model driven methods for spend classification. ",Healthcare ,Health Provider - Operations,"identify saving potentials based on usage, contract terms, benchmarks and tier pricing available. ",TBD,TBD,TBD,TBD,TBD,Dan Kinsella,Ashish Chhabra,TBD,"Analytics, analytics application, analytical platform, automation, intelligence platform, cost saving, spends, operations, spend classification, saving potentials, saving,  contract terms, benchmarks, tier pricing",Labor productivity analytics.jpg,Data & AI,Operational Executive,Optimize Supply & Service Costs,AI Insights & Engagement
Management Intelligence Platform,Solution,"Integrated insights providing correlated intelligence across finance and operations for business unit, service line and Institute leaders. The data platform part of the Operational Analytics application at HHC has curated insights from over 10 core and ancillary applications, including 3rd party and publicly available data . AI models (developed in Python) are uses in several use cases including but not limited to workforce planning with attritions predictions, financial planning with forecasting models, improve user experience with defaults and recommendations for identifying analysis cohorts and SMART alert framework to minimize user click for targeted insights and intelligence. ",Healthcare ,Cross domain,"Attritions predictions, financial planning with forecasting models, improve user experience with defaults and recommendations for identifying analysis cohorts and SMART alert framework to minimize user click for targeted insights and intelligence. ",TBD,TBD,TBD,TBD,TBD,Dan Kinsella,Ashish Chhabra,TBD,"Automation, intelligence platform, finance, operations, data platform, operational analytics application, analytics, analytical platform, AI, artificial intelligence, AI models, artificial intelligence models, wokforce planning, financial planning, attrition, forecasting, forecasting models, user experience,  improve user experience, analysis cohorts, SMART alert framework, user clicks, attritions predictions, ",Spend analytics.jpg,Data & AI,Operational Executive,Optimize Supply & Service Costs,AI Insights & Engagement
Healthinteractive,Accelerator ,"HealthInteractive is cloud-based solution, offered as SAAS to the Health Plan clients designed specifically as a packaged solution with multiple capabilities including EDI 837 files transformations. Features are, ability to Read EDI 837 X12 file and convert to easily readable format (ex: XML/JSON), generate human readable reports for all X12 errors and acknowledgements, SLAs reports aligned with the CAQH Operating Rules etc., support SNIP (1-7) validations: 1-4 is out of the box while 5-7 is configurable. Areas Addressed are EDI 837 mapper, EDI Data generation (Convert XMLs to EDI X12).
",Healthcare ,Health Plan - Operations,"EDI Conversion, EDI Mappers, and EDI Validation.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,EDI Operations,Management Intelligent platform.jpg,Cloud,Operational Executive,Operational Cost Saving,Cloud Machine Learning
Travis,Accelerator,"Transaction Validation at Scale (TRAVIS) is an EDI testing framework with set of accelerators and tools, that can be rapidly deployed to validate integrity and scalability of large volume business transactions with high degree of accuracy & speed for large transformation program. Features are, better risk coverage through Production Variety and Scale, automated reports helped with quick identification of Error claims, 100% Automation test helped to attain faster testing cycles. Areas addressed are Functional Equivalency, EDI Error and Exception Handling, Business / IT Operations Readiness.",Healthcare ,Health Plan - Operations,"Claim Volume Testing, Synthetic Data Generator.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"EDI Operations, ClaimTesting",Digital Clinician.png,Digital Transformation,Operational Executive,Operational Cost Saving,Service
Qvc For Digital Health,New Idea,"COVID proved two things, one, patients are willing to adopt digital health technology, and two, despite this openness, they remain out of the loop and unaware of which products would best meet their needs.We think there's an opportunity to create a QVC-like live-streaming channel that features different healthcare products. The Sales Development Representatives (SDRs) of various startups could come onto the channel and explain their solutions value. Patient reviews would be integrated, ensuring recommendations did not go unchecked, and the best products rose to the top.",Healthcare ,"Retail, Distributors",Digital Video Blogging,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Retail, Distribution",Smart UM.jpg,Digital Transformation,Operational Executive,Operational Cost Saving,TBD
Real Time Api For Doctor Capacity,New Idea,"Scheduling in healthcare is still a mess. Each provider uses multiple scheduling systems, and no one has a comprehensive view into the overall appointment capacity of a given provider network.Healthcare needs something like ITA for surfacing real-time provider capacity at a national scale to facilitate efficient appointment booking. Real-time scheduling requires minimal intervention of schedulers and thus can help reduce the waiting time caused by human factors. The available time slots are transparent to patients through our APP interface.",Healthcare ,Health Provider - Operations,"Member Management, User Experience.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Member Management,Digital Examiner.jpg,HC Operations Modernization,Operational Executive,Operational Cost Saving,TBD
Pre-Submission Claim Checks,New Idea,"Oppurtunity - Claims are often submitted with clear issues that will result in immediate rejections or denials. By informing providers of the likelihood of a denial pre-submission, the provider can take the appropriate actions to correct the claim to prevent unnecessary back-and-fourth. Solution - A machine learning solution that supports the claim submission process by predicting claims that are likely to be rejected or denied along with projected reasons prior to claim submission allowing providers to make the appropriate corrections prior to submission to limit preventable denials. ",Healthcare ,Health Plan - Operations,"Claims no longer submitted with issues that will result in a denial. Dollars saved on claims processing as less claims flow to adjudication system and claims examiners multiple times. Accelerates time to payment by preventing added time to send denials, prepare appeals, and rereview.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Intake & Enrichment, Claim Status Checks,  Likely to Reject,  Duplicate Claim Identification ",High Dollar Claims.png,"Data & AI,Claim Operations",Operational Executive,Operational Cost Saving,TBD
Ai Authorization Review,New Idea,"Oppurtunity: Specific provider, plan, and procedure combinations yield authorization rates that are consistently high. By removing extraneous authorization and substantiation requirements, providers and payers will have a reduced burden both submitting and reviewing requests. Solution:A machine learning solution that supports authorization process by proactively reviewing what authorizations / information or documentation is required for authorizations to be approved. Two open APIs support this solution: 1. an API that receives patient, provider, and procedure information and returns if an authorization is needed and details of the supporting documentation required 2. an API that receives lookup value for authorization request submitted and returns current status.",Healthcare ,Health Plan - Operations,"Reduce Unnecessary Reviews of procedures that are rarely rejected, increasing availability for more complex, high value authorizations. Dollars saved on authorization submission / processing with ability to submit and review more easily with less information. Accelerate Speed to Service by removing unnecessary authorization hurdles that delay the administration of procedures and payment.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Auth Submission,  AI Authorization Review,  Intelligent Claim Attachment Extraction, ",Program Integrity.png,"Care Management,Data & AI",Operational Executive,Operational Cost Saving,TBD
Authorization Apis,New Idea,"Oppurtunity: Providers have to go into payer systems to confirm if authorization are required, the supporting documentation needed, and the current status. By having an open API that providers can configure their systems to utilize they could run automated checks without going to the external site. Solution: Two open APIs support this solution: 1) an API returns if an authorization is needed and details of the supporting documentation required 2) an API that returns current status. a. The solution is 2 Representational State Transfer (REST) APIs, b. The APIs preform a lookup of the required information based on provided inputs, c. APIs can be created to support both individual and bulk calls for more flexible provider integration.",Healthcare ,Provider and Plan - EMR Integration/Data Exchange ,Reduces manual checks of both authorization requirements and statuses. Providers are more informed on authorization requirements minimizing non-authorized procedures that are not reimbursed. Accelerates time to care by facilitating better supported authorization requests and embedded statuses.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Enablement & Intelligence, Auth Submission,  AI Authorization Review,  Intelligent Claim Attachment Extraction",Intelligent Secure Messaging.png,"Care Management,Data & AI",Operational Executive,Operational Cost Saving,TBD
Claim Status Checks,New Idea,"Opportunity: After claim submission, providers monitor its status through the payer portal/payer calls. Having the status be retrieved by an API and noted directly in the providers EMR and a chat bot to provide more information can reduce manual efforts/payer calls. Solution: An API that receives claim information and returns the current status along with a conversational AI Chat-Bot that can provide additional status details to the provider. ",Healthcare ,Provider and Plan - EMR Integration/Data Exchange ,Reduces manual checks of both authorization requirements and statuses. Dollars saved on provider services due to a reduction in call volume driven by status checks. Provider workflow improvements from information now made available in EMR for work queue routing.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Pre-Submission Claim Checks,Strategy Accelerator.png,"Data & AI, Claim Operations",Operational Executive,Operational Cost Saving,TBD
Provider Driven Data Management,New Idea,"Opportunity: Provider Data Management occurs through multiple inconsistent channels leading to multiple versions of provider data, causing administrative burden, patient care delays, reworking of claims/denials, data mismatches, and patient issues with identifying in-network providers accurately. Solution: An AI Algorithm works across provider, payer, and external data sources to appropriately determine a single source of truth for provider enrollment. The program then provides these corrections and insights back to the provider and payer.",Healthcare ,Provider and Plan - EMR Integration/Data Exchange ,Reduction in number of provider records needing reviewed and updated. Denials reduction due to corrected provider information. Accelerates time to validate and confirm discrepancies between systems before it impacts billing.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Auto-Onboarding Credentialing Tool?,Revenue Intellect.jpg,Data & AI,Operational Executive,Operational Cost Saving,TBD
Auto-Onboarding / Credentialing Tool,New Idea,"Opportunity: Provider onboarding is currently a disjointed process, with new practitioners experiencing delays in being onboarded and credentialed by the Payer, resulting in delays in a practitioners ability to see patients.  Increased efficiencies can be realized by utilizing a single data source to conduct onboarding and credentialing. Solution:When a provider has a new practitioner to onboard to the payer, they can utilize a single channel / input form using a third party data source (i.e. CAQH), and the payer can provide real-time validation and credentialing. ",Healthcare ,Provider and Plan - EMR Integration/Data Exchange,Reduces manual onboarding and credentialing processes. Additional Dollars earned by allowing practitioners to see patients sooner. Reduces validation time.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Provider Driven Data Management,Program Integrity.png,Data & AI,Operational Executive,Operational Cost Saving,TBD
Auth Submission /Interqual Connect,New Idea,"Opportunity: The authorization submission and review process can be highly time consuming for both the provider and payer. By implementing a direct connection between provider/payer authorization systems, simple authorizations can be automated and provided in real time, while complex authorizations can be managed more effectively to reduce review efforts required. Solution: Via a custom or third party connection, providers can transmit authorizations directly to the payer within their systems. Requests received can be automatically approved in real time or additional records or substantiation can be collected.",Healthcare ,Health Plan - Operations,Reduces data entry error at the point of authorization submission. Dollars saved on authorization processing as claims come in with more accurate information and detail. Accelerates time to payment by providing automatic authorizations for simple procedures.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,AI Authorization Review,Intelligent Secure Messaging.png,"Care Management,Data & AI",Operational Executive,Operational Cost Saving,TBD
Patient Liability Estimation,New Idea,Opportunity: Failure to appropriately estimate and collect patient liability at the point of service can reduce a providers patient collection rate. A tool can be used during scheduling or at the point of service to calculate a unique patient estimate. The estimate can then be used to collect payments up front. Solution: The tool will be providing a liability estimate using by reading into the Plan fee schedules and cross referencing this data with the patients service history for the year. This information can be accessed directly in provider systems via an API call.,Healthcare ,Provider and Plan - EMR Integration/Data Exchange,Total patient visits that could benefit from up front collection. Increase in patient liability collection rate by increasing percent collected up front. Accelerates patient liability received times by collecting at POS instead of during the billing process.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Provider Payment Estimation / Accelerator?,Strategy Accelerator.png,HC Operations Modernization,Operational Executive,Operational Cost Saving,TBD
Provider Payment Estimation /Accelerator,New Idea,"Opportunity: Incorrect pricing during the billing and payment process can result in a costly back-and-forth process between the provider and payer. By moving the payment process upstream, these issues can be caught earlier and the provider can receive payment closer to or at the point of service. Solution: The calculator will be able to intake patient, plan, and procedure/visit information via API to estimate provider payment. If the result has a high level of certainty, payment can be released at the point of service and reconciled during billing.?",Healthcare ,Provider and Plan - Pricing Estimation/Contract Pricing ,Eligible procedures and visits to benefit from estimate or acceleration. Decrease in downstream appeal costs due to payment calculation issues being caught earlier. Reduce the payment time required through release at the point of service.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Patient Liability Estimation?,Revenue Intellect.jpg,Data & AI,Operational Executive,Operational Cost Saving,TBD
Contract Pricing Rules Extraction,New Idea,"Opportunity: Contract variance can result in incorrect or out of date pricing uploaded. Variance between the providers expected payment and the payment received from the payer can result in manual efforts by both parties to confirm claims were paid accurately. Through an extraction tool the upload and testing of new rates can be accelerated. Solution:A NLP tool reads the contract, extracts pricing rules, and builds out the corresponding pricing models in payer systems. Using these rules, the tool can then build out a mock claim and a corresponding detailed pricing calculation to test the upload. ",Healthcare ,Provider and Plan - Pricing Estimation/Contract Pricing ,Number of provider contracts that could benefit from this tool. Appeals reduced from improved alignment between provider/payer calculations. Reduction in entry efforts required to add new contracts to the model.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Patient Liability Estimation,  Provider Payment Estimation / Accelerator, Payment Calculation Transparency",Innowake.jpg,Data & AI,Operational Executive,Operational Cost Saving,TBD
Patient Data Collection,New Idea,"Opportunity: The provider and patient work to collect all of the appropriate medical records prior to a visit/procedure. This can be highly time consuming and missing information can result in delayed or uninformed care. Since the payer is aware of a patients past visits across providers, they can help facilitate better data transmission. Solution: Through a connection to the providers EMR/scheduling system, the payer can identify when a member is scheduled for a visit and transmit both information the payer has (e.g. eligibility / past procedures) and  information other providers has (via connection to their EMRs).",Healthcare ,Provider and Plan - EMR Integration/Data Exchange,Number of visits that could benefit from accelerated patient information collection. Reduction in provider time spent per new patient collecting and inputting details. Improved patient experience with more informed doctors / limited care delays.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Patient Liability Estimation,Process Bionics.jpg,HC Operations Modernization,Operational Executive,Operational Cost Saving,TBD
